intervene     v.（为防止或改变某事件结果或过程）插入，插手，介入；干预，干涉
survival     n.生存；继续存活，（尤指在困境中的）幸存；幸存事物
briefcase     n.公文包，公事包
recede     vi.退，退去，渐渐远去；向后倾斜；缩进；（特点，感觉）逐渐减少；（可能性）变得渺茫
patron     n.赞助人，资助人；（商店、饭店等的）顾客（尤指老主顾）
supplement     v.补充，增补
flexible     adj.灵活的，可变通的；易弯曲的，柔韧的
corporate     adj.（与）大公司（或大团体）（有关）的
canteen     n.食堂，小卖部；（带帆布套的）水壶
poke     v.戳，刺，捅；伸出，探出
refuge     n.避难；庇护；慰藉；庇护者；避难所
uniform     n.制服
correlate     v.相关；关联
cycle     n.循环；周期；自行车；摩托车
resort     v.（尤指不可取的方法、手段）向…求助；采取，诉诸；〈正式〉常去；（成群结队地）去
champion     n.冠军；拥护者
lounge     n.（机场等的）等候室；休息室；起居室
lure     n.吸引力，诱惑物；诱饵，鱼饵
distill     vt.蒸馏，用蒸馏法提取；吸取，提炼
garage     n.汽车间，汽车库；加油站；汽车修理厂
opponent     n.对手，敌手；反对者
confidential     adj.保密的；机密的
incompatible     adj.与…不一致的，不相容的，不匹配的，不兼容的；互斥的；（两物）不能共存的；与…合不来的
posture     n.姿势，姿态；看法，态度
try     v.尝试，努力；试验，做；审讯，审判
booth     n.公用电话亭；投票站；（餐馆里的）火车座；售货棚，货摊
dimension     n.尺寸；容积；维度；（局势的）方面；特征
conspicuous     adj.显而易见的，明显的；显著的
manipulate     v.熟练地操作，使用；操纵，控制（人或局势）
effective     adj.能产生（预期）效果的，有效的
gland     n.腺
texture     n.（物质、表面的）结构，构造；纹理；肌理
impetus     n.推动，促进，刺激；推动力
marble     n.大理石；（用玻璃、石头等制成的）弹子；[pl.]弹子游戏
irrespective     adj.不顾的，不考虑的，无关的
faith     n.信任，信赖；信心；信念；信仰；笃信的学说
superintendent     n.负责人，主管人，指挥者；警长
machinery     n.机器，机械
tug     v.拽；（朝某一方向用力）拉
telecommunications     n.通信，电信（学）
pipe     n.管道，管子，输送管；烟斗，烟袋；管乐器
detective     n.刑侦，刑事调查；侦探
detach     v.（使）分离，分开，拆卸；离开（地方），脱离（组织）
vengeance     n.报复，报仇，复仇
individual     adj.单个的；单独的；个人的；独特的
savage     adj.残暴的，凶猛的，粗鲁的；未开化的，野蛮的
cell     n.【生】细胞；移动电话
companion     n.同伴，伴侣；同行者；成对物之一；成套物之一
innate     adj.天生的，固有的，天赋的
eruption     n.爆发
combination     n.结合；联合；合并；联盟；组合；排列；数字密码
demand     v.要求, 请求; 需要; 询问, 查问; 强令; 召唤
urine     n.尿
pest     n.害虫，害兽；讨厌的人（或物）
web     n.（蜘蛛等的）网；网络；错综复杂的事物；互联网（world wide web 的简称）
directory     n.目录，名录；指南；电话号码簿
bridge     n.桥, 桥梁; 桥牌; 舰桥; 鼻梁; 鼻梁架; 沟通的桥梁, 纽带
inlet     n.小湾，水湾；进口，入口
culminate     vi.（culminate in/with）以……告终；最终达到
commercial     adj.贸易的；商业的；商务的
bulletin     n.（报纸、电台等）简明新闻，最新消息；公告，布告，公报；学报，期刊（尤指某机构的机关刊物）
epidemic     n.流行病；（传染病的）流行，传播；流传，盛行
remedy     n.纠正方法；补救办法；治疗（法）；药品；排遣手段
triumph     n.胜利；伟绩，伟业
outbreak     n.（暴力、疾病等坏事的）爆发，突然发生
liberal     adj.开明的；（制度等）开放的；自由主义的；（教育）通才的
regiment     n.（军队的）团；一大群人（或事物）
owe     vt.应把…归功于； 欠（债）, 欠（情）
complexion     n.肤色，面色；局面；性质
situated     adj.位于…的，坐落在…的；处于…境地的
flush     v.冲洗；发红，脸红
pedal     n.踏板
dignity     n.尊严，高贵； 庄严, 端庄
implicit     adj.含蓄的，不言明的
notation     n.记号，标记法
trifle     n.小事, 琐事; 小物件, 小玩意儿; 不值钱的东西; 稍微; 少量, 一点儿
edible     adj.可以吃的，可食用的（常与不好吃或有毒之物相对）
indignation     n.愤慨；愤怒；义愤；气愤
encourage     vt.鼓励，支持；激励，鼓舞；促进，助长（活动，状态，观点）；激发
municipal     adj.市政的；地方政府的
exchange     n.交换；互换；意见／信息等交流；兑换；交换物；商品交易所
primitive     adj.原始的，早期的；远古的；落后的；最基本的，极简单的，质朴的
prestige     n.威信，声望，威望；（作定语）气派的，体面的
float     v.在（液体，空气）中浮动，飘动
render     v.致使，造成；给予，提供（服务、帮助等）
financial     adj.财政的，金融的
overturn     v.使翻转；使倾覆，使倒下；推翻（既定事实、决定，体制等）；使无效
complication     n.使更复杂化的事物；【医】并发症
dizzy     adj.头晕目眩的；眩晕的；使人眩晕的
crop     n.作物，庄稼；（作物的）收成；产量
champagne     n.香槟酒
cane     n.手杖；（植物的）茎；藤条
disposition     n.性情，性格；意向，倾向；排列，部署
rigorous     adj.谨慎的，细致的；严酷的，苛刻的；严密的，缜密的
prune     vt.修剪，修整；删除，削减
reserve     v.预订（房间、座位、入场券等）；把…专门留给
cooperative     adj.合作的；协作的；配合的
graduate     v.从…获得学位；完成培训；（北美）从高中毕业；授予…学位（或其他学术资格）
curt     adj.简短的，草率的，简单粗暴的
moreover     adv.而且，再者，此外
condemn     v.谴责，责难；反对；宣判，判处（某人刑罚）
extent     n.广度，范围，程度
precious     adj.贵重的；珍贵的，宝贵的
massive     adj.大量的，大规模的；厚重的，大块的；大而重的
consolidate     v.巩固；强化；使坚强；使结实；联合，统一
mobilize     v.调动；动员；组织；鼓动
uncommon     adj.不平常的；罕见的
petition     n.请愿书；诉状；祈求
pretext     n.借口，托词
terrace     n.（与建筑物相连的）露台，平台；阶梯看台；梯田；阶地
paralyze     v.使瘫痪；使麻痹；使不能正常工作
harp     n.竖琴
feeble     adj.虚弱的，衰弱的，无力的；无效的，无益的
sulfur     n.硫, 硫磺
house     n.房屋（尤指独幢式两层以上者）；场所；公司，商号；公共机构
transaction     n.交易，业务；处理，办理
transcend     vt.超出，超越
forcibly     adv.用力地；强制地，强硬地
magnify     v.放大，增强；夸大，夸张
feudal     adj.封建的，封建制度的
competitive     adj.（与）竞争（有关）的，竞争性的；可与…匹敌的；有竞争力的
strategy     n.战略，策略
residential     adj.作住所用的；私人住宅的；（学生）寄宿的
letter     n.字，字母；（尤指邮寄或信使送的）信件
concept     n.观念；概念；（出售或宣传商品的）主意（或发明创造）
disturbance     n.干扰，妨碍；骚乱，动乱；失调，紊乱
tan     vt.使晒成棕褐色；硝制（皮革）
custom     n.风俗；习俗；习惯；【主英】（顾客经常性的）光顾，惠顾；[pl.]海关；关税
rank     n.排，行，列；（机构或社团中的）地位；阶级；（属于或构成群体的）成员；【统计】次序排列，等级；品类；军衔，职衔
pistol     n.手枪
conservation     n.节约（资源），防止浪费；保护，保存
fixture     n.（房屋或车辆中的）固定装置；固定家具
furthermore     adv.而且，此外
resident     n.常住居民，定居者；〈北美〉（高级专科）住院医师；〈美〉寄宿制学校学生；无迁徙习性的动物
tract     n.(连通身体组织或器官的)道, 束; 地带, 大片土地; 小册子
standardize     v.使…标准化，使…符合标准
interact     v.交流，交往，互动；相互作用，相互影响
change     v.变化, 改变, 变更, 转换
candidate     n.待选人（或物）；考生；求职申请人；选举候选人
negotiate     v.谈判，洽谈，协商；通过洽谈达成，谈成；通过，越过（险要路段）
collision     n.碰撞；冲突，抵触
qualitative     adj.定性的；性质的；质量的
considerate     adj.考虑周到的，体贴的，体谅的
supreme     adj.最高的，最大的；极度的，最重要的
obligation     n.（道义，法律上的）义务（或责任）；承诺
external     adj.外面的；外部的；外表的；表面的；外来的；外界的
unfold     v.展开；打开；（系列事件，信息）逐渐展开；披露，呈现；透露；展现（思想，信息）
revenge     n.报复，报仇
capable     adj.有能力的，有才能的；能胜任的；可以…的；容许…的
vulgar     adj.庸俗的；粗俗的；粗野的；不雅的
instantaneous     adj.瞬间发生的；瞬间完成的
recite     v.背诵；朗诵，当众吟诵；（口头）列举，逐一讲述
simulate     vt.模仿，模拟；假装，冒充
destined     adj.命中注定的；预先安排好的
tub     n.桶，盆；饭盒；浴缸，浴盆
manufacturer     n.制造商
revive     v.复活，苏醒，复苏；使恢复精力，使重振活力；重新使用；重新上演
donation     n.捐款，捐赠物；捐赠，赠送
eagle     n.鹰, 鹰徽, 十元金币, 【高】比标准杆少两杆的分数
remote     adj.（地点）边远的，偏僻的；（电子设备）遥控的，远程的；关系疏远的；（机会、可能性）渺茫的；孤高的，超然的
estimate     v.估计，估价；判断
stray     v.迷路，走失；偏离正题；走神
objection     n.反对，异议；反对的理由
plain     n.平原，草原
envisage     v.想象, 设想; 正视; 面对
feature     n.特征，特色；面貌；特写，专题节目；故事片
recur     vi.再发生，周期性发生，反复出现
manufacture     v.生产，制造
invariably     adv.不变地，始终如一地，总是
watertight     adj.防水的；水密的；严密的；无懈可击的
cope     v.（人）应付；（妥善）处理
climate     n.气候；（某气候占主导的）地区，地带；风气，气氛
royalty     n.王室成员；版税
sake     n.为了…目的；为了…的利益；为了；为了某事或某物（本身）；考虑到，为了帮助某人
shark     n.鲨鱼；骗子，奸商
skip     v.跳跃，蹦跳；略过，跳过（一本书的部分章节或一连续过程中的某个阶段）；【非正式】逃跑；消失；不参加；不合适处理；错过
ethic     n.道德规范，伦理标准
dwell     v.居住，栖身；老是想着；详述；详写
offspring     n.子女，后代；（动物的）幼仔；幼苗
fling     v.猛投，猛掷；迅猛移动；愤怒地说
cradle     n.摇篮；发源地，发祥地；托架，吊篮
portray     vt.描写，（在艺术或文学作品中）描述，刻画；扮演，饰演
knit     v.编织（衣物、毯子等）；使团结，使联合；皱紧，皱（眉）
pole     n.极（点）；竿，杆，支杆
variation     n.变化；变更；差异
grope     v.摸索，暗中摸；搜寻
smoothly     adv.顺利地，平稳地
miniature     n.微型画；缩微模型
compassion     n.同情，怜悯
inhabit     vt.居住于，（动物）栖居于
optimism     n.乐观；乐观主义
deliver     v.投递，送交，递送；提供，兑现；不负所望；履行诺言；讲，发表；分娩
marginal     adj.次要的，不重要的；非主要的；（指税款）同收入增长有关的
premature     adj.比正常时间早的；提早的，过早的；（做法等）不成熟的，仓促的
escort     n.陪侍者；护卫者
divine     adj.敬神的；神圣的
rush     v.冲，奔；（使）急速行进；仓促行事；猛攻；猛冲；急速流动，奔腾
destination     n.目的地，送达地点
preview     n.（电影、戏剧等的）预映，预演；（电影等的）预告（片）
critic     n.（文艺作品的）评论家，尤指职业评论家；批评者
sound     n.声音；响声，声响；（电影、录像或广播中的）音响效果
issue     n.问题；议题；争论点；（出版物的）期，号；颁布；分配，分发；【非正式】个人问题；个人困难
enormously     adv.非常地，巨大地
undergo     v.经历；接受；遭受；忍受
ritual     n.（宗教等的）仪式；例行公事，老规矩
nasty     adj.糟糕的，恶心的；令人不悦的, 不友好的；严重的，恶劣的；险恶的，道德败坏的
hamper     v.妨碍；阻碍
evoke     vt.唤起，引起；使人想起
settlement     n.解决，处理；定居地；殖民（地）；（尤指诉讼双方在法庭外达成的）和解；结算
congress     n.代表大会；国会，议会
dole     n.救济，（失业）救济金 vt. 发放，发给
ultimate     adj.最后的, 最终的; 极端的, 终极的; 根本的, 基本的; 最大的; 最高的; 合计的
reliable     adj.可靠的，可信的
thesis     n.论文，学位论文；命题，论题；论点
capital     n.首都；资金；大写字母
destructive     adj.破坏（性）的；毁灭（性）的
hitherto     adv.到目前为止，迄今
orbit     n.轨道，轨迹
weary     adj.疲劳的，疲倦的；使人疲劳的，令人厌倦的
prohibit     v.（通过法律、条例等）禁止，阻止某人做某事
perpetual     adj.永恒的，永久的；终身的；持续的，不间断的；一再往复的
renaissance     n.再生; 复兴; [the R-](欧洲的)文艺复兴, 文艺复兴时期
wound     n.伤；伤口；（感情或名誉的）损害；创伤，痛苦
testify     v.作证；证实；证明
beam     n.光线，光束；射束；横梁；眉开眼笑
veil     n.面纱，面罩，头巾；掩饰，掩盖，托辞
jerk     v.猛推；急拉；突然改变
detain     vt.扣留，拘押；留住；耽搁
unemployment     n.失业；失业状态；失业人数，失业比率
interpret     v.解释，说明，阐明，阐释（信息或行为）；理解（行为，情绪或行为方式的）特殊含义；口译
quarterly     adv.每季一次
nurse     n.（尤指医院里的）护士；护理员；保姆
pupil     n.学生, (尤指)小学生, 弟子, 瞳孔
majesty     n.雄伟壮观，威严；（对国王或女王的尊称）陛下；王权
ponder     v.沉思，琢磨，考虑
mentality     n.〈常贬〉心态，心性；思想方法
even     adv.甚至；即使（用于强调令人吃惊或极端之事）；甚至更，还（用于在比较之中表示强调）
radioactive     adj.放射性的，有辐射能的
historian     n.历史学家，史学工作者
pave     vt.铺（路），铺筑
expense     n.开支，花费；代价；价钱；费用
employment     n.职业，工作；雇用；受雇
establish     v.设立；建立；制定；证实；查明；确定；安置；安顿；使开业；使立足；使稳定
contaminate     vt.弄脏，污染
boom     n.迅速增长，繁荣 （期）；隆隆声，嗡嗡声
item     n.（一些物品中的一个）物品；项目；条款
convict     v.（经陪审团或法官裁决后）宣判（某人）有罪
revolution     n.革命，彻底变革；革命性巨变；大变革；旋转
splash     v.溅湿，溅开；戏水；（报刊）以醒目方式刊登
stomach     n.胃, 腹部; 胃口, 食欲; 欲望
commend     v.（正式）表扬，称赞；推荐；举荐；把…托付给
heritage     n.（像历史上有名的建筑物、世代相传的文化传统等）贵重遗产，继承物；传统；（作定语）（与）国家遗产（有关）的，传统的
boycott     v.抵制；拒绝参加
generous     adj.丰盛的；量多的；慷慨的
superior     adj.较高的；上级的；高质的；占优势的；高标准的；有优越感的，高傲的
ideal     adj.理想的，完美的，称心如意的，最佳的
premise     n.（企业、机构等使用的）房屋和地基，经营场址；前提，假设
terrific     adj.【非正式】非常好的，了不起的；极大的
pirate     n.海盗；盗版者，盗印者，侵权者
multitude     n.大量的人；大量的东西；群众，大批百姓
speculate     v.推测，猜测；投机
sacrifice     n.牺牲，供俸，祭品
foremost     adj.最突出的，最杰出的，首要的
internal     adj.存在于组织内的，组织内发生的；内的，内部的；体内的
rip     v.撕破；猛地扯开；突然拉开
sediment     n.沉淀，沉渣，沉积（物）
concede     vt.（不情愿地）承认（或同意）…为事实（或正确）；（在结果确定前）承认失败；允许，让予；让步，认输
layman     n.门外汉，外行
linen     adj.亚麻(布)制的, 亚麻色的
utilize     v.利用；使用
inspiration     n.灵感；启发灵感；鼓舞人心（的人或物）；妙计，好主意
nil     n.无，零
subscribe     v.订阅; 订购; 签署; 签名; 同意, 赞成; 认捐; 捐助
retention     n.保留，保持；记忆，记忆力
deed     n.行为；（土地或建筑物的）转让契约；证书
instrumental     adj.起作用的, 有帮助的; 用乐器演奏的; 使用仪器的; 工具性的
relish     vt.享受，从…中获得乐趣
rebellion     n.反抗，反对；叛乱，反叛，叛逆，谋反；公开蔑视
intellectual     adj.要动脑的，脑力的；智力的，才智的
fore     n.前头，船头
commonplace     adj.平凡的；普通的；普遍的
tanker     n.油轮
latent     adj.潜在的；潜伏的；隐藏的
manuscript     n.手稿，原稿；手抄本
shaft     n.轴，杆；井状通道，井穴；一束（光）；挖苦，尖酸的话
collaboration     n.合作；协作；通敌行为
integral     adj.必需的；必要的；基本的，基础的；完整的
comet     n.彗星
cumulative     adj.积累的，渐增的
promising     adj.有希望的，有前途的
successive     adj.连续的；接连的；相继的
minimum     n.最小数；最少量；最低限度
prevalent     adj.流行的，盛行的；普遍的
pendulum     n.摆；钟摆；【喻】摇摆不定的局面
insulate     v.使隔热；使隔音；使绝缘；使隔绝；使免受（不良影响）
scramble     v.争夺；争抢；艰难地爬
wretched     adj.不愉快的；恶劣的；可怜的；该死的，无法容忍的
process     n.（自然变化的）过程；步骤，程序；方法
continuity     n.连贯的存在（或活动）；连续的整体；连续性；持续性
deny     v.否认；拒绝把…给予
surgeon     n.外科医生，外科医师
exaggerate     v.夸大，夸张
bud     n.花蕾，叶芽
want     vt.想要；需要；渴望
scent     n.香味，气味；臭迹；踪迹，线索；香水
illustrate     v.举例说明；以图表说明
disclose     v.泄漏（秘密），透露（新消息）
neutral     adj.中立的，中性的
incline     v.使倾斜；使倾向于；想要，赞同
obstacle     n.障碍，绊脚石
suborbital     adj.（卫星、火箭等）不满轨道一圈的；眼眶下的
moon     n.月球；月亮；卫星
psychological     adj.（疾病，问题）心理上的（而非生理上的），精神的；心理学的
reproach     n.责备，责怪，批评
identical     adj.（双胞胎）同卵的；完全相同的，一模一样的
blink     vi.眨眼睛；闪亮，闪烁
willingness     n.愿意，情愿
descendant     n.子孙，后裔，后代
deteriorate     vi.恶化，变坏
incidentally     adv.顺便说及地，顺便提一句
commute     vt.通勤；经常在家和工作地点之间往返；减（刑）；折合，折偿
boring     adj.令人厌烦的，乏味的，无聊的
restrain     v.抑制，遏制；限制，阻止；约束自己，忍住
frequency     n.频度，频率；频繁；（电台广播或传输信号的）频带，波段；（波的）振动频率
destruction     n.摧毁，彻底毁坏
medieval     adj.中世纪的，中古（时代）的
inspiring     adj.使人振奋的，鼓舞的
presumably     adv.大概，可能，据推测
pronounce     v.发音, 读（音）, 正式宣布（或公布、授予等）
watt     n.瓦（特）
rig     vt.（用不正当手段）操纵，垄断；给（船、桅杆）装配帆及索具；用临时替代材料迅速搭起
guarantee     n.保证；担保（书）；保修单起保证作用的事物
exhaust     v.用完，用光，耗尽（资源，储备物）；使精疲力竭
version     n.变化形式；变体；型；版本，说法，译本
combat     n.搏斗；打仗；战斗
blank     adj.空白的；茫然的，无表情的
